id_campanha,nome_campanha,canal_principal,data_inicio,data_fim,quantidade_leads,leads_impactados,leads_convertidos,taxa_impacto,taxa_conversao,custo_por_lead,custo_total,receita_estimada,roi_percentual
1,Expansão Empresas SP,Call Center,2023-05-09,2023-06-16,8332,7346,1220,88.17,16.61,5.0,49182.31,46586081.9,94621.22
2,Crédito PJ Nordeste,E-mail,2023-08-16,2023-10-19,8621,7550,1052,87.58,13.93,0.5,5088.82,40170949.31,789296.15
3,Financiamento Frotas,App,2023-01-13,2023-07-05,33320,21704,3322,65.14,15.31,0.2,7867.28,126851609.89,1612294.75
4,Consórcio Agro,Internet Banking,2023-02-20,2023-11-01,34389,32395,8685,94.2,26.81,0.15,6089.76,331639443.67,5445754.08
5,Digital Onboarding,Call Center,2023-08-02,2023-09-03,20472,18439,3477,90.07,18.86,5.0,120842.56,132770333.41,109770.51
6,Retenção Clientes Top,Malote,2023-10-15,2023-11-03,26959,16249,257,60.27,1.58,10.0,318268.34,9813625.45,2983.44
7,Cross-sell Consórcio,E-mail,2023-10-15,2023-11-03,40482,31482,1833,77.77,5.82,0.5,23895.8,69993678.78,292812.05
8,Upgrade Crédito,Internet Banking,2023-10-20,2023-11-14,31011,22867,7858,73.74,34.36,0.15,5491.57,300060189.79,5463914.66
9,Expansão Sul,WhatsApp,2023-03-03,2023-04-04,9663,6471,1189,66.97,18.37,0.4,4563.12,45402337.19,994884.51
10,Novos Negócios Tech,Internet Banking,2023-12-17,2024-01-13,5884,4183,1007,71.09,24.07,0.15,1041.97,38452610.22,3690275.94
11,Capital de Giro,App,2023-01-02,2023-07-04,25175,19450,2539,77.26,13.05,0.2,5944.14,96952509.78,1630960.33
12,Investimento PJ,App,2023-01-13,2023-08-12,41363,25142,7531,60.78,29.95,0.2,9766.34,287573592.43,2944438.0
13,Parceria Varejo,SMS,2023-02-12,2023-05-08,13555,12741,707,93.99,5.55,0.3,4800.76,26997016.31,562248.8
14,Benefícios Empresa,Malote,2023-11-16,2023-12-06,24800,17246,216,69.54,1.25,10.0,292779.95,8248027.61,2717.14
15,Seguros Empresariais,WhatsApp,2023-05-02,2023-05-21,3128,2645,275,84.56,10.4,0.4,1477.12,10500961.08,710807.79
16,Financiamento Equipamentos,Internet Banking,2023-05-05,2023-06-05,4964,4421,1242,89.06,28.09,0.15,879.05,47426158.78,5395060.55
17,Conta Digital PJ,E-mail,2023-07-14,2023-08-10,21268,18142,1250,85.3,6.89,0.5,12554.12,47731641.29,380106.99
18,Antecipação Recebíveis,App,2023-10-19,2023-11-16,44308,37702,10062,85.09,26.69,0.2,10461.69,384220619.71,3672543.9
19,Expansão Centro-Oeste,SMS,2023-07-08,2023-08-18,41511,37505,1687,90.35,4.5,0.3,14701.92,64418623.08,438064.7
20,Recuperação Inativos,Malote,2023-10-06,2023-11-20,22535,17801,331,78.99,1.86,10.0,266040.17,12639338.61,4650.91
